Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Brooklyn North,BKN01,9.000000000000000,2015.000000000000000,March,63.551934849974096,42.445038596282892,40.661376556109794,478.942070724044015
Brooklyn North,BKN02,9.000000000000000,2015.000000000000000,March,70.956422537433212,31.249149332352697,49.958090173369698,443.035515593010018
Brooklyn North,BKN03,9.000000000000000,2015.000000000000000,March,56.266363826939696,31.187110675790194,35.789401459472195,364.514425880783051
Brooklyn North,BKN04,9.000000000000000,2015.000000000000000,March,62.849110976205495,30.619728180010000,54.357314483491194,467.002104027104053
Brooklyn North,BKN05,9.000000000000000,2015.000000000000000,March,55.530462880535204,25.205763094746796,36.636426873871002,357.769546666950021
Brooklyn North,BKN08,9.000000000000000,2015.000000000000000,March,65.873590423654903,41.001391971899395,49.612637270493494,518.320752656275999
Brooklyn North,BKN09,9.000000000000000,2015.000000000000000,March,59.597553632143196,28.135922032043997,36.619769327262503,358.195930353312008
Brooklyn North,BKN16,9.000000000000000,2015.000000000000000,March,50.630094927372099,22.046050498410800,27.714054085732098,299.481342909995078
Brooklyn North,BKN17,9.000000000000000,2015.000000000000000,March,64.212699302115297,28.161307970546599,51.189836804075100,436.688603332243019
Brooklyn South,BKS06,9.000000000000000,2015.000000000000000,March,81.260832921093495,44.429292438016802,77.324213274680204,681.916267006847988
Brooklyn South,BKS07,9.000000000000000,2015.000000000000000,March,75.042222136514297,47.142570720456199,63.494390715730994,662.232475266220945
Brooklyn South,BKS10,9.000000000000000,2015.000000000000000,March,77.632287101791093,55.184420921312096,66.821461816613393,752.932302370661091
Brooklyn South,BKS11,9.000000000000000,2015.000000000000000,March,73.216904498477291,46.948514473960792,56.627997977571901,627.245513729583990
Brooklyn South,BKS12,9.000000000000000,2015.000000000000000,March,67.259049967429704,54.017439519497394,40.052334673309495,544.560671031714037
Brooklyn South,BKS13,9.000000000000000,2015.000000000000000,March,63.633421814732003,38.694549377061001,38.866675114397999,495.375206370867033
Brooklyn South,BKS14,9.000000000000000,2015.000000000000000,March,67.316841517149896,32.809325687437997,48.392520135522496,457.501031894525056
Brooklyn South,BKS15,9.000000000000000,2015.000000000000000,March,73.351165801187889,49.208304564821198,55.094674383617196,629.142267042748017
Brooklyn South,BKS18,9.000000000000000,2015.000000000000000,March,69.187994795462998,33.112928562458698,55.192398133000196,490.948867797931030
Bronx,BX01,9.000000000000000,2015.000000000000000,March,41.345953389674200,17.950285876242699,19.942583585868302,213.611416544647000
Bronx,BX02,9.000000000000000,2015.000000000000000,March,57.266408451382496,29.892599756253400,38.094992026549996,386.338971668537056
Bronx,BX03,9.000000000000000,2015.000000000000000,March,48.819912544284989,25.149192196071400,28.260423038358699,281.711005067012991
Bronx,BX04,9.000000000000000,2015.000000000000000,March,55.275066440319897,28.590292171831997,34.592411522484902,359.134696741708069
Bronx,BX05,9.000000000000000,2015.000000000000000,March,58.430145128892093,28.268023800856898,42.195625514035200,403.887089202002016
Bronx,BX06,9.000000000000000,2015.000000000000000,March,59.735917124128903,34.142094306378006,33.545955850508093,415.958316564974041
Bronx,BX07,9.000000000000000,2015.000000000000000,March,61.916528028825304,32.974166065794300,47.501468826945299,459.076288723550022
Bronx,BX08,9.000000000000000,2015.000000000000000,March,73.700866196997396,39.542770899860095,72.423092729934396,588.446537353265057
Bronx,BX09,9.000000000000000,2015.000000000000000,March,53.350483397584995,22.048343181109200,36.416286921855196,329.896622029787068
Bronx,BX10,9.000000000000000,2015.000000000000000,March,72.320159564699182,41.831775378763503,63.286238180630292,596.379304080219072
